Timestamp           MALEE.Open     MALEE.High      MALEE.Low    MALEE.Close                .PE 
09/08/11                 3.780          3.780          3.580          3.580               9.260
10/08/11                 3.680          3.750          3.580          3.580               9.260
11/08/11                 3.680          3.830          3.650          3.750               9.720
15/08/11                 3.800          3.830          3.730          3.730               9.650
16/08/11                 3.750          3.900          3.730          3.730               9.650
17/08/11                 3.750          3.800          3.730          3.750               9.720
18/08/11                 3.750          3.780          3.700          3.700               9.590
19/08/11                 3.680          3.750          3.650          3.650               9.460
22/08/11                 3.730          3.730          3.630          3.630               8.720
23/08/11                 3.650          3.680          3.580          3.580               8.600
24/08/11                 3.600          3.600          3.330          3.350               8.060
25/08/11                 3.400          3.430          2.830          3.130               7.510
26/08/11                 3.000          3.000          2.900          2.980               7.150
29/08/11                 3.050          3.180          2.950          3.100               7.450
30/08/11                 3.100          3.200          2.950          3.000               7.210
31/08/11                 3.030          3.450          3.030          3.350               8.060
01/09/11                 3.350          3.450          3.250          3.450               8.300
02/09/11                 3.530          3.650          3.380          3.380               8.120
05/09/11                 3.330          3.350          3.230          3.280               7.870
06/09/11                 3.250          3.380          3.250          3.280               7.870
07/09/11                 3.300          3.380          3.280          3.300               7.940
08/09/11                 3.330          3.330          3.280          3.280               7.870
09/09/11                 3.330          3.330          3.150          3.150               7.570
12/09/11                 3.100          3.130          3.000          3.030               7.270
13/09/11                 3.030          3.080          2.900          2.950               7.090
14/09/11                 3.000          3.000          2.850          2.930               7.030
15/09/11                 2.980          3.000          2.800          2.880               6.910
16/09/11                 2.900          3.080          2.900          3.000               7.210
19/09/11                 2.980          3.350          2.980          3.300               7.940
20/09/11                 3.330          3.500          3.130          3.130               7.510
21/09/11                 3.150          3.200          3.030          3.030               7.270
22/09/11                 3.030          3.030          2.750          2.750               6.610
23/09/11                 2.730          2.730          2.450          2.530               6.070
26/09/11                 2.630          2.650          2.250          2.310               5.560
27/09/11                 2.400          2.490          2.350          2.450               5.890
28/09/11                 2.460          2.580          2.460          2.500               6.010
29/09/11                 2.480          2.580          2.460          2.490               5.980
30/09/11                 2.500          2.530          2.390          2.390               5.740
03/10/11                 2.230          2.280          2.190          2.190               5.260
04/10/11                 2.250          2.250          2.130          2.140               5.140
05/10/11                 2.190          2.380          2.180          2.210               5.320
06/10/11                 2.280          2.330          2.280          2.300               5.530
07/10/11                 2.330          2.460          2.280          2.280               5.470
10/10/11                 2.250          2.360          2.250          2.340               5.620
11/10/11                 2.380          2.500          2.350          2.380               5.710
12/10/11                 2.380          2.550          2.380          2.460               5.920
13/10/11                 2.490          3.050          2.440          3.000               7.210
14/10/11                 2.950          3.000          2.750          2.850               6.850
17/10/11                 2.900          3.330          2.900          3.000               7.210
18/10/11                 2.930          2.950          2.830          2.900               6.970
19/10/11                 3.000          3.230          2.950          2.950               7.090
20/10/11                 2.980          3.050          2.780          2.830               6.790
21/10/11                 2.880          2.950          2.830          2.830               6.790
25/10/11                 2.930          3.030          2.900          2.950               7.090
26/10/11                 3.030          3.080          2.900          2.930               7.030
27/10/11                 2.980          3.000          2.950          2.950               7.090
28/10/11                 2.980          3.080          2.830          2.850               6.850
31/10/11                 2.880          2.930          2.830          2.850               6.850
01/11/11                 2.850          2.950          2.830          2.850               6.850
02/11/11                 2.850          2.950          2.830          2.930               7.030
03/11/11                 2.900          2.930          2.850          2.900               6.970
04/11/11                 2.950          3.000          2.850          2.850               6.850
07/11/11                 2.830          2.880          2.800          2.850               6.850
08/11/11                 2.880          2.930          2.850          2.900               6.970
09/11/11                 2.900          2.950          2.850          2.850               6.850
10/11/11                 2.800          2.880          2.800          2.850               6.850
11/11/11                 2.900          2.900          2.850          2.850               6.850
14/11/11                 2.900          3.030          2.900          3.030               7.270
15/11/11                 3.100          3.130          2.930          2.950               7.090
16/11/11                 2.980          3.050          2.950          3.030               7.270
17/11/11                 3.050          3.050          3.000          3.000               7.210
18/11/11                 3.000          3.600          3.000          3.500               8.420
21/11/11                 3.530          3.650          3.380          3.480               8.360
22/11/11                 3.530          3.780          3.480          3.650               8.780
23/11/11                 3.680          3.750          3.580          3.630               8.720
24/11/11                 3.650          3.700          3.600          3.600               8.660
25/11/11                 3.580          3.600          3.350          3.350               8.060
28/11/11                 3.430          3.580          3.430          3.530               8.480
29/11/11                 3.550          3.680          3.550          3.580               8.600
30/11/11                 3.700          3.730          3.550          3.580               8.600
01/12/11                 3.600          3.650          3.580          3.580               8.600
02/12/11                 3.600          3.630          3.580          3.580               8.600
06/12/11                 3.630          3.650          3.600          3.600               8.660
07/12/11                 3.630          3.850          3.630          3.730               8.960
08/12/11                 3.780          3.950          3.750          3.900               8.120
09/12/11                 3.900          3.900          3.780          3.830               7.970
13/12/11                 3.830          4.250          3.830          4.150               8.650
14/12/11                 4.180          4.330          4.030          4.080               8.490
15/12/11                 4.080          4.230          4.050          4.230               8.800
16/12/11                 4.300          4.550          4.230          4.500               9.370
19/12/11                 4.500          4.650          4.500          4.550               9.480
20/12/11                 4.580          4.600          4.430          4.500               9.370
21/12/11                 4.550          4.580          4.350          4.430               9.220
22/12/11                 4.430          4.480          4.380          4.450               9.270
23/12/11                 4.530          4.800          4.430          4.730               9.840
26/12/11                 4.730          5.300          4.730          5.130              10.680
27/12/11                 5.180          5.200          4.950          5.000              10.420
28/12/11                 5.050          5.400          4.980          5.400              11.250
29/12/11                 5.430          5.600          5.330          5.350              11.150
30/12/11                 5.430          5.530          5.330          5.400              11.250
04/01/12                 5.450          5.530          5.180          5.280              10.990
05/01/12                 5.330          5.330          4.780          4.800              10.000
06/01/12                 4.850          5.130          4.780          5.050              10.520
09/01/12                 5.050          5.080          4.980          4.980              10.360
10/01/12                 5.030          5.180          5.030          5.080              10.570
11/01/12                 5.050          5.530          5.030          5.450              11.350
12/01/12                 5.500          5.530          5.350          5.380              11.200
13/01/12                 5.400          6.000          5.230          5.930              12.340
16/01/12                 6.030          6.560          5.980          6.560              13.670
17/01/12                 6.750          7.060          6.630          6.690              13.930
