Timestamp             CMR.Open       CMR.High        CMR.Low      CMR.Close                .PE 
12/09/16                 4.300          4.400          4.180          4.180              41.800
13/09/16                 4.140          4.280          4.140          4.200              42.000
14/09/16                 4.220          4.640          4.220          4.500              45.000
15/09/16                 4.500          4.620          4.500          4.540              45.400
16/09/16                 4.580          4.600          4.460          4.520              45.200
19/09/16                 4.540          4.580          4.520          4.540              45.400
20/09/16                 4.540          4.540          4.400          4.440              44.400
21/09/16                 4.480          4.480          4.420          4.440              44.400
22/09/16                 4.440          4.700          4.440          4.560              45.600
23/09/16                 4.560          5.050          4.520          5.000              50.000
26/09/16                 4.940          5.200          4.940          4.960              49.600
27/09/16                 5.050          5.350          5.050          5.250              52.500
28/09/16                 5.250          5.300          4.980          5.050              50.500
29/09/16                 5.100          5.150          5.000          5.050              50.500
30/09/16                 5.000          5.000          4.960          4.960              49.600
03/10/16                 5.050          5.100          4.920          4.940              49.400
04/10/16                 4.960          5.050          4.960          4.980              49.800
05/10/16                 4.980          5.000          4.960          4.960              49.600
06/10/16                 4.980          5.150          4.960          5.000              50.000
07/10/16                 5.000          5.050          4.920          4.920              49.200
10/10/16                 4.620          4.740          4.580          4.600              46.000
11/10/16                 4.640          4.680          4.360          4.400              44.000
12/10/16                 4.380          4.380          3.820          3.960              39.600
13/10/16                 3.960          4.000          3.800          3.900              39.000
14/10/16                 4.120          4.360          4.040          4.300              43.000
17/10/16                 4.340          4.940          4.280          4.800              48.000
18/10/16                 4.820          4.880          4.680          4.700              47.000
19/10/16                 4.700          4.940          4.660          4.780              47.800
20/10/16                 4.760          4.900          4.760          4.800              48.000
21/10/16                 4.820          4.840          4.740          4.760              47.600
25/10/16                 4.780          4.820          4.760          4.800              48.000
26/10/16                 4.820          4.820          4.700          4.700              47.000
27/10/16                 4.720          4.840          4.680          4.800              48.000
28/10/16                 4.800          5.050          4.800          4.900              49.000
31/10/16                 4.920          4.960          4.820          4.860              48.600
01/11/16                 4.920          4.920          4.860          4.880              48.800
02/11/16                 4.900          4.900          4.800          4.800              48.000
03/11/16                 4.820          4.880          4.780          4.800              48.000
04/11/16                 4.800          4.820          4.760          4.760              47.600
07/11/16                 4.780          4.800          4.760          4.780              47.800
08/11/16                 4.820          4.860          4.780          4.780              47.800
09/11/16                 4.760          4.800          4.740          4.780              47.800
10/11/16                 4.820          4.920          4.780          4.800              48.000
11/11/16                 4.820          4.820          4.760          4.760              47.600
14/11/16                 4.740          4.760          4.680          4.680              46.800
15/11/16                 4.680          4.720          4.640          4.680              48.770
16/11/16                 4.660          4.720          4.640          4.640              48.350
17/11/16                 4.640          4.700          4.640          4.640              48.350
18/11/16                 4.660          4.700          4.640          4.660              48.560
21/11/16                 4.660          4.780          4.660          4.700              48.980
22/11/16                 4.740          4.900          4.700          4.820              50.230
23/11/16                 4.840          4.860          4.760          4.760              49.600
24/11/16                 4.800          4.860          4.760          4.780              49.810
25/11/16                 4.820          4.840          4.760          4.760              49.600
28/11/16                 4.780          4.800          4.740          4.760              49.600
29/11/16                 4.800          4.800          4.740          4.740              49.390
30/11/16                 4.740          4.800          4.740          4.760              49.600
01/12/16                 4.780          4.840          4.740          4.740              49.390
02/12/16                 4.760          4.800          4.700          4.700              48.980
06/12/16                 4.680          4.760          4.680          4.700              48.980
07/12/16                 4.700          4.760          4.700          4.720              49.180
08/12/16                 4.760          4.780          4.740          4.760              49.600
09/12/16                 4.760          4.920          4.760          4.760              49.600
13/12/16                 4.820          4.820          4.740          4.740              49.390
14/12/16                 4.760          4.780          4.720          4.740              49.390
15/12/16                 4.740          4.820          4.740          4.740              49.390
16/12/16                 4.740          4.800          4.720          4.740              49.390
19/12/16                 4.740          4.760          4.700          4.720              49.180
20/12/16                 4.720          4.740          4.680          4.700              48.980
21/12/16                 4.700          4.800          4.700          4.720              49.180
22/12/16                 4.720          4.760          4.700          4.700              48.980
23/12/16                 4.720          4.720          4.640          4.680              48.770
26/12/16                 4.700          4.720          4.600          4.660              48.560
27/12/16                 4.660          4.720          4.600          4.640              48.350
28/12/16                 4.640          4.760          4.620          4.640              48.350
29/12/16                 4.660          4.680          4.660          4.660              48.560
30/12/16                 4.680          4.740          4.660          4.660              48.560
04/01/17                 4.700          4.720          4.660          4.660              48.560
05/01/17                 4.680          4.800          4.680          4.700              48.980
06/01/17                 4.760          4.760          4.700          4.720              49.180
09/01/17                 4.720          4.800          4.700          4.800              50.020
10/01/17                 4.860          4.880          4.740          4.740              49.390
11/01/17                 4.780          4.780          4.700          4.740              49.390
12/01/17                 4.780          4.780          4.700          4.720              49.180
13/01/17                 4.740          4.740          4.700          4.740              49.390
16/01/17                 4.740          4.740          4.700          4.700              48.980
17/01/17                 4.700          4.740          4.700          4.700              48.980
18/01/17                 4.700          4.720          4.680          4.680              48.770
19/01/17                 4.760          4.760          4.640          4.660              48.560
20/01/17                 4.640          4.800          4.640          4.680              48.770
23/01/17                 4.720          4.740          4.660          4.660              48.560
24/01/17                 4.720          4.740          4.640          4.680              48.770
