Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
12/11/15                35.750         36.000         35.500         35.500              27.680
13/11/15                35.750         36.250         35.750         36.250              28.270
16/11/15                36.250         36.250         35.750         36.000              28.070
17/11/15                35.000         35.750         35.000         35.250              32.830
18/11/15                35.500         36.250         35.500         35.750              33.290
19/11/15                35.500         35.750         35.500         35.500              33.060
20/11/15                35.250         35.500         35.250         35.500              33.060
23/11/15                35.500         35.500         35.250         35.250              32.830
24/11/15                35.250         35.500         35.250         35.250              32.830
25/11/15                35.500         35.500         35.500         35.500              33.060
26/11/15                35.250         35.500         35.250         35.250              32.830
27/11/15                35.500         35.500         35.250         35.500              33.060
30/11/15                35.500         35.500         35.250         35.250              32.830
01/12/15                35.250         35.500         35.000         35.500              33.060
02/12/15                35.250         35.750         35.250         35.250              32.830
03/12/15                35.250         35.250         35.000         35.000              32.590
04/12/15                35.000         35.500         35.000         35.500              33.060
08/12/15                35.000         35.500         35.000         35.500              33.060
09/12/15                35.500         35.500         35.000         35.250              32.830
11/12/15                35.000         35.250         34.750         35.250              32.830
14/12/15                35.000         35.000         35.000         35.000              32.590
15/12/15                35.000         35.250         34.000         34.500              32.130
16/12/15                34.500         34.750         34.500         34.500              32.130
18/12/15                34.750         34.750         34.750         34.750              32.360
21/12/15                34.750         35.000         34.500         35.000              32.590
22/12/15                35.000         35.000         34.500         34.750              32.360
23/12/15                34.750         35.000         34.500         34.500              32.130
24/12/15                35.000         35.000         35.000         35.000              32.590
25/12/15                35.000         35.000         34.750         34.750              32.360
28/12/15                34.750         35.000         34.750         34.750              32.360
29/12/15                35.000         35.750         35.000         35.250              32.830
30/12/15                35.000         35.500         35.000         35.500              33.060
04/01/16                35.000         35.000         35.000         35.000              32.590
05/01/16                35.000         35.500         35.000         35.500              33.060
06/01/16                35.500         35.500         35.500         35.500              33.060
07/01/16                35.500         35.500         34.500         35.500              33.060
08/01/16                35.000         36.000         35.000         35.750              33.290
11/01/16                35.750         35.750         35.500         35.750              33.290
12/01/16                35.750         35.750         35.500         35.500              33.060
13/01/16                35.750         36.000         35.750         36.000              33.530
14/01/16                36.000         36.000         36.000         36.000              33.530
15/01/16                36.000         36.500         36.000         36.000              33.530
18/01/16                36.000         36.250         36.000         36.250              33.760
19/01/16                36.250         36.250         36.000         36.000              33.530
20/01/16                36.000         36.000         35.500         35.750              33.290
21/01/16                36.000         36.000         36.000         36.000              33.530
22/01/16                36.000         36.000         35.750         36.000              33.530
25/01/16                36.000         36.000         36.000         36.000              33.530
26/01/16                36.000         36.000         36.000         36.000              33.530
27/01/16                36.000         36.250         36.000         36.250              33.760
